Station name,Victoria Bridge - Old
Station number,"730507"
External number,---
River,River Kent
Operator,---
NGR,SD5179193065
Easting,"351791"
Northing,"493065"
Parameter-name,FQ [Flow]
Parameter Type,Flow
Time series name,tsm(CLA/730507/FQ/15m.Cmd.Runoff.C);Round(3)
Time series unit,m³/s
Time level,High-resolution
Time series type,Other
Equidistant time series,yes
Time series value distance,15 minute
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/12/2015 00:00:00 to 01/01/2016 00:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value [m³/s],State of value,Interpolation,Runoff value [l/s/km²],State of runoff value,Interpolation of runoff value,Tags,Comments
01/12/2015 09:30:00,17.518,G,102,95.729242,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 09:45:00,18.528,G,102,101.243607,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 10:00:00,20.017,G,102,109.381023,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 10:15:00,22.368,G,102,122.232106,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 10:30:00,25.685,G,102,140.357089,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 10:45:00,29.868,G,102,163.214557,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 11:00:00,34.376,G,102,187.846258,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 11:15:00,39.25,G,102,214.482041,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 11:30:00,42.508,G,102,232.282323,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 11:45:00,45.15,G,102,246.719031,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 12:00:00,46.287,G,102,252.935233,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 12:15:00,46.391,G,102,253.503522,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 12:30:00,45.769,G,102,250.101732,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 12:45:00,44.534,G,102,243.355462,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 13:00:00,43.922,G,102,240.01107,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 13:15:00,42.508,G,102,232.282323,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 13:30:00,41.212,G,102,225.199851,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 13:45:00,39.932,G,102,218.208603,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 14:00:00,37.997,G,102,207.632101,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 14:15:00,36.855,G,102,201.391162,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 14:30:00,35.54,G,102,194.210225,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 14:45:00,33.728,G,102,184.307616,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
