Station name,Victoria Bridge - Old
Station number,"730507"
External number,---
River,River Kent
Operator,---
NGR,SD5179193065
Easting,"351791"
Northing,"493065"
Parameter-name,SG [Stage]
Parameter Type,Stage
Time series name,tsm(CLA/730507/SG/15m.Cmd.RelAbs.P);Round(3)
Time series unit,m
Time level,High-resolution
Time series type,Other
Equidistant time series,yes
Time series value distance,15 minute
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/12/2015 00:00:00 to 01/01/2016 00:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value [m],State of value,Interpolation,Absolute value [mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
01/12/2015 08:30:00,1.55,G;Ed,102,42.39,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 08:45:00,1.558,G;Ed,102,42.398,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 09:00:00,1.57,G;Ed,102,42.41,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 09:15:00,1.579,G;Ed,102,42.419,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 09:30:00,1.59,G;Ed,102,42.43,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 09:45:00,1.606,G;Ed,102,42.446,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 10:00:00,1.629,G;Ed,102,42.469,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 10:15:00,1.664,G;Ed,102,42.504,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 10:30:00,1.711,G;Ed,102,42.551,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 10:45:00,1.767,G;Ed,102,42.607,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 11:00:00,1.824,G;Ed,102,42.664,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 11:15:00,1.876,G;Ed,102,42.716,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 11:30:00,1.909,G;Ed,102,42.749,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 11:45:00,1.935,G;Ed,102,42.775,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 12:00:00,1.946,G;Ed,102,42.786,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 12:15:00,1.947,G;Ed,102,42.787,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 12:30:00,1.941,G;Ed,102,42.781,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 12:45:00,1.929,G;Ed,102,42.769,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 13:00:00,1.923,G;Ed,102,42.763,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 13:15:00,1.909,G;Ed,102,42.749,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 13:30:00,1.896,G;Ed,102,42.736,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 13:45:00,1.883,G;Ed,102,42.723,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 14:00:00,1.863,G;Ed,102,42.703,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 14:15:00,1.851,G;Ed,102,42.691,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 14:30:00,1.837,G;Ed,102,42.677,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 14:45:00,1.816,G;Ed,102,42.656,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 15:00:00,1.807,G;Ed,102,42.647,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 15:15:00,1.791,G;Ed,102,42.631,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 15:30:00,1.78,G;Ed,102,42.62,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 15:45:00,1.77,G;Ed,102,42.61,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 16:00:00,1.758,G;Ed,102,42.598,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 16:15:00,1.751,G;Ed,102,42.591,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 16:30:00,1.739,G;Ed,102,42.579,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 16:45:00,1.725,G;Ed,102,42.565,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 17:00:00,1.722,G;Ed,102,42.562,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 17:15:00,1.713,G;Ed,102,42.553,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 17:30:00,1.707,G;Ed,102,42.547,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 17:45:00,1.703,G;Ed,102,42.543,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 18:00:00,1.691,G;Ed,102,42.531,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 18:15:00,1.688,G;Ed,102,42.528,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 18:30:00,1.683,G;Ed,102,42.523,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 18:45:00,1.677,G;Ed,102,42.517,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 19:00:00,1.671,G;Ed,102,42.511,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
